Tên ảnh,Biển số nhận diện,Ground Truth
AQUA5_10429_checkin_2020-11-2-9-50KMGtRp2AE_.jpg,89A10429,89A10429
AQUA5_11155_checkin_2020-11-1-11-44PAbemuH7Y0.jpg,30G11155,30G11155
AQUA5_15207_checkin_2020-11-1-10-55sMmjTIt3Jd.jpg,29H15207,29H15207
AQUA5_19752_checkin_2020-10-26-7-49R7ZOQqXOZi.jpg,30E19752,30E19752
AQUA5_20049_checkin_2020-11-1-13-23A10qSZkzWz.jpg,30F20049,30F20049
AQUA5_20701_checkin_2020-10-31-11-22bm8Yo_v_0w.jpg,30E20701,30E20701
AQUA5_25074_checkin_2020-11-1-11-48YO4j7q9E_V.jpg,14A25074,14A25074
AQUA5_25495_checkin_2020-10-27-7-7raNEheXCZX.jpg,30G25495,30G25495
AQUA5_25885_checkin_2020-10-28-18-272t2dyIxEwp.jpg,Không nhận diện,29A25885
AQUA5_26144_checkin_2020-10-23-17-140HcLE8JWTi.jpg,30A26144,30A26144
AQUA5_27580_checkin_2020-10-22-8-13xuVBC6AAb2.jpg,30F27580,30F27580
AQUA5_27580_checkin_2020-10-23-17-13R_qkStKRND.jpg,30F27580,30F27580
AQUA5_27580_checkout_2020-10-23-17-39BqaHc6U1SV.jpg,30F27580,30F27580
AQUA5_36253_checkin_2020-11-2-9-57WMyEigYyem.jpg,30F36253,30F36253
AQUA5_39509_checkin_2020-10-29-11-14NB1YlqefBk.jpg,30G39509,30G39509
AQUA5_43843_checkin_2020-11-1-15-29peQyULdDpH.jpg,30E43843,30E43843
AQUA5_47005_checkin_2020-10-27-10-47UNG0sr7ePh.jpg,30A47005,30A42005
AQUA5_47837_checkin_2020-10-26-19-28hWJeeon_Zt.jpg,30A47837,30A47837
AQUA5_49052_checkin_2020-10-26-11-3vvfrF5LNHw.jpg,36A49052,36A49052
AQUA5_54659_checkin_2020-10-31-17-8k0NXDSX42M.jpg,30F54659,30F54659
AQUA5_57599_checkoutex_2020-10-28-23-37b9P8p30Lak.jpg,30A57599,30A57599
AQUA5_80651_checkin_2020-10-29-13-25NcqqbyFPPl.jpg,Không nhận diện,30F80651
AQUA5_86404_checkin_2020-10-26-20-24DlkuaubZpw.jpg,30F86450,30P86404
AQUA5_87180_checkin_2020-10-30-15-58N3sfjeGTfp.jpg,29A87180,29A87180
AQUA5_90230_checkin_2020-10-31-8-0tWaizksrK3.jpg,30F90230,30F90230
AQUA5_97061_checkin_2020-10-27-14-59UILIhNbkRm.jpg,30A97061,30A97061
AQUA7_0 0 7 5 7_checkout_2020-10-24-11-19C_yvfx_7rZ.jpg,U8907379,89A07379
AQUA7_00757_checkin_2020-10-24-11-17Atnc4KwBmW.jpg,T0Z202,88LD00757
AQUA7_06973_checkin_2020-10-27-12-20lnJbl4tu4T.jpg,30F06973,30F06973
AQUA7_07379_checkin_2020-10-24-11-18brEjgtOrWO.jpg,U8907379,89A07379
AQUA7_09132_checkin_2020-10-22-8-12wa5D7Fzvor.jpg,30G09132,30G09132
AQUA7_09290_checkin_2020-10-26-22-32auNPMYzMxP.jpg,14A09290,14A09290
AQUA7_13962_checkin_2020-10-27-7-372d7mEkjOYH.jpg,89A13962,89A13962
AQUA7_1452_checkin_2020-10-24-9-54dmd4dgaIHg.jpg,29Z1452,29Z1452
AQUA7_17339_checkin_2020-10-31-16-45w2SUMLISon.jpg,98A17339,98A17339
AQUA7_20061_checkin_2020-10-19-10-23SOxm0vrkW.jpg,89A20061,89A20061
AQUA7_20784_checkin_2020-11-1-15-54V7qhZNYbg5.jpg,30F20784,30F20784
AQUA7_21950_checkin_2020-11-1-9-5puwClWncST.jpg,30F21950,30F21950
AQUA7_30599_checkin_2020-11-1-10-56iv__6NRjmI.jpg,88A30598,88A30598
AQUA7_30A 60434_checkout_2020-10-25-19-57NYeamj34wz.jpg,30A60434,30A60434
AQUA7_43441_checkin_2020-10-26-22-41dHr6pPRo56.jpg,14A43441,14A43441
AQUA7_44482_checkin_2020-11-1-12-50ddLkUmOC4r.jpg,30A44482,30A44482
AQUA7_46294_checkin_2020-10-24-11-16SzHPPHe0FM.jpg,29A46294,29A46294
AQUA7_46437_checkin_2020-10-27-19-50xX8Q9rVzaq.jpg,30G46437,30G46437
AQUA7_57224_checkin_2020-11-1-12-13urU4m_Tsw4.jpg,29A57224,29A57224
AQUA7_60168_checkin_2020-11-1-15-15mKbBDW8WRQ.jpg,30A60168,30A60168
AQUA7_60986_checkin_2020-10-24-9-53oJ4ToE8ioP.jpg,8A609N,29A60986
AQUA7_63839_checkin_2020-10-30-8-37KiSPp4kjs8.jpg,30A63839,30A63839
AQUA7_66684_checkin_2020-10-27-9-280mCxNKwpBc.jpg,30E66684,30E66684
AQUA7_70924_checkin_2020-10-26-22-56e54RRM17m6.jpg,30F70924,30F70924
AQUA7_71990_checkin_2020-11-1-10-59_RyT10JuPE.jpg,Không nhận diện,29A71990
AQUA7_71990_checkout_2020-11-1-11-16E3vX5tdqcD.jpg,30F72928,30F72928
AQUA7_72928_checkin_2020-11-1-11-34XrIdsA7SR.jpg,30F72928,30F72928
AQUA7_74323_checkin_2020-11-1-9-133RsuFtqPM2.jpg,9E74323,30E74323
AQUA7_88013_checkin_2020-10-22-8-33V3a8B55XY1.jpg,30F88013,30F88013
AQUA7_96416_checkin_2020-10-26-12-39HnFWXE6QO5.jpg,30E96416,30E96416
AQUA7_99015_checkin_2020-11-1-12-29kRe7c09_eC.jpg,30F99015,30F99015
AQUA7_NULL_checkin_2020-10-19-10-3VNDtBDGikR.jpg,89A2006T,89A20061
AQUA7_null_checkout_2020-10-19-10-3npZ7kbHMSM.jpg,89A2061,89A20061
CarLongPlate191_jpg.rf.eb2a72c4d396b0e25f8348196bc60f1b.jpg,51F07568,51F07568
CarLongPlate275_jpg.rf.0a73eb805e76a55dfad792344e808316.jpg,51G22237,51G22237
CarLongPlate512_jpg.rf.696938a7ba42c71c5f4488342e85a834.jpg,51F73420,52F73420
CarLongPlate773_jpg.rf.7269145361dacbcd4d8b01cb5f570da3.jpg,51A90905,51A90905
CarLongPlate788_jpg.rf.09e9de657f363c3c648d353d3635cd43.jpg,51G47340,51G47340
CarLongPlate962_jpg.rf.6ab575528b0dec92007a01eb5dcbae91.jpg,60A3598A,60A35981
CarLongPlate998_jpg.rf.581bcb06d68b9e2cc301e4f44ba3be50.jpg,51F27809,51F27809
CarLongPlateGen1148_jpg.rf.d90dc290bb1d6d5a5f00356c10a0c450.jpg,48A05177,48A05177
CarLongPlateGen1270_jpg.rf.399fdf2ba48a9dc60d174a09f8149115.jpg,51F07568,51F07568
CarLongPlateGen1716_jpg.rf.d933f4819840ff1d2e26a6c95aa81a7f.jpg,51A69T72,51A69172
CarLongPlateGen1795_jpg.rf.8bb0f8584c264190fe035a6615ca16e8.jpg,51A90905,51A90905
CarLongPlateGen1808_jpg.rf.ec383fc14a6e5fc2823a9cd026cbc4e3.jpg,5TG47340,51G47340
CarLongPlateGen1977_jpg.rf.5703287df70fecf8b87c556f4dab75bd.jpg,51G51936,51G51936
CarLongPlateGen1998_jpg.rf.31e1f06aa82886ab70fb004f03fd46ea.jpg,51F27809,51F27809
CarLongPlateGen2048_jpg.rf.d9ed0a63f64915f9697388c330c2da91.jpg,5TG49539,51G49539
CarLongPlateGen2051_jpg.rf.70c4bf2ca60fe098369b2a30f9b60ab1.jpg,51F73420,51F74320
CarLongPlateGen2133_jpg.rf.594ba5d4c5ad0a122d07260443444218.jpg,48A05177,
CarLongPlateGen2303_jpg.rf.34cf262df1d9b1b8d509c881718dfb77.jpg,51A69172,
CarLongPlateGen2429_jpg.rf.703f39b4c48f8bc3b93ef9aa357ae33c.jpg,51A05227,51A05227
CarLongPlateGen2625_jpg.rf.6ad5405c29d5f5cb0a78111c1920277e.jpg,51G01440,
CarLongPlateGen2690_jpg.rf.4369f2cd9a52ca56876784f58718aaef.jpg,51F2226X,51F22261
CarLongPlateGen2691_jpg.rf.bafc10b744fc086ec6fb3a27e9685503.jpg,60A3598N,
CarLongPlateGen2729_jpg.rf.524d52daf37792f2b704aef3f529b5f1.jpg,48A05X77,
CarLongPlateGen2751_jpg.rf.8824b6b67385d436076df292b9da215d.jpg,51G51008,
CarLongPlateGen2838_jpg.rf.09f7c8ed6c4687eb34c87fe79bf7029d.jpg,51A05227,
CarLongPlateGen2865_jpg.rf.59fd093a58cdb2c12bdb89b356641097.jpg,51F44614,
CarLongPlateGen2912_jpg.rf.a7761110f7b37c19197caf93a302c763.jpg,51F86988,
CarLongPlateGen3168_jpg.rf.679fc6e95990170740bf02d0c0cccd24.jpg,5ZG5Z332,51G51332
CarLongPlateGen3211_jpg.rf.1590783f90e83c365ac21f72c7d3930b.jpg,62A05772,62A05772
CarLongPlateGen3282_jpg.rf.991662bb1f1028fcf2f1a51d9d4cabd4.jpg,5AF57493,51F57493
CarLongPlateGen3316_jpg.rf.a6d0d09bd3725c9136297c6d152fbc6c.jpg,5XF06532,51F06532
CarLongPlateGen3335_jpg.rf.ee2efff8a2390bd8700d8597258129c3.jpg,5ZF88270,51F88270
CarLongPlateGen3464_jpg.rf.f3512dc4deed7e402de4e9246584b95a.jpg,5ZF3NZ8,51F31118
CarLongPlateGen3695_jpg.rf.d6479bc2d4b75db9c547da2d206bea70.jpg,5FG25Z8,51G25181
CarLongPlateGen3806_jpg.rf.8d81bacaf12a651a904ed29c8e67eb8b.jpg,5ZF27809,51F27809
CarLongPlateGen3829_jpg.rf.3826f7527f09186f512c550392ad1323.jpg,5ZF5988Z,51F59881
CarLongPlateGen3850_jpg.rf.def0890369c8dd601e33ab1a8fdcfa97.jpg,51F356T3,51F35613
Clip32_new_16.jpg,69A06084,69A06084
Clip35_new_6.jpg,29A563T6,29A56364
Clip36_new_4.jpg,60A61760,60A61760
Dieu_0253.png,51H10572,51H10572
Dieu_0271.png,1H60996,51H60996
Hung_0007.png,51G44203,51G44203
Hung_0306.png,47A4364Z,47A43647
Tgmt_0002.png,8907379,89A07379
Tgmt_0004.png,30A6043,30A60434
Tgmt_0015.png,30E25697,30F25697
Tgmt_0020.png,30E43502,30E43502
Tgmt_0021.png,30E43502,30E43502
Tgmt_0028.png,30A68251,30A68251
Tgmt_0035.png,30F97025,30F97025
Tgmt_0036.png,29A02343,29A02343
Tgmt_0037.png,90A07718,90A07718
Tgmt_0038.png,30G46885,30G46885
Tgmt_0039.png,30F32643,30F32643
Tgmt_0040.png,30F44101,30F44101
Tgmt_0041.png,30F50483,30F50483
Tgmt_0043.png,30G03916,30G03916
Tgmt_0047.png,A30A583,30A58373
Tgmt_0048.png,56S0009,56S0009
Tgmt_0053.png,89A06932,89A06932
Tgmt_0054.png,30A04180,30A04180
Tgmt_0055.png,29A00084,29A00084
Tgmt_0056.png,56SU09,56S0009
Tgmt_0057.png,56S0009,56S0009
Tgmt_0060.png,30A04180,30A04180
Tgmt_0062.png,30A04180,30A04180
Tgmt_0068.png,A9005685,29D05685
Tgmt_0071.png,89A06932,89A06932
Tgmt_0072.png,90A07718,90A07718
Tgmt_0096.png,30A18036,30A18036
Tgmt_0098.png,30G19663,30G19663
Tgmt_0105.png,89A21740,89A21740
Tgmt_0108.png,29A25808,29A25808
Tgmt_0110.png,30A26144,30A26144
Tgmt_0125.png,30F32643,30F32643
Tgmt_0126.png,30F32659,30F32659
Tgmt_0131.png,98A32802,98A32802
Tgmt_0133.png,99A33254,99A33254
Tgmt_0136.png,88A33744,88A33744
Tgmt_0140.png,30A37519,30A37519
Tgmt_0147.png,30A4035,30A44035
Tgmt_0148.png,30F44101,30F44101
Tgmt_0154.png,30G46885,30G46885
Tgmt_0155.png,3054703,30M4703
Tgmt_0157.png,30F50483,30F50483
Tgmt_0169.png,51G529,51G52911
Tgmt_0170.png,51G529Z1,51G52911
Tgmt_0176.png,A30A583,30A58373
Tgmt_0179.png,29A60432,29A60432
Tgmt_0181.png,29A60432,29A60432
Tgmt_0201.png,29A85437,29A85437
Tgmt_0210.png,30A90296,30A90296
Tgmt_0212.png,30F92619,30F92619
Tgmt_0214.png,30F93591,30F93591
Tgmt_0220.png,29A95394,29A95394
Tgmt_0221.png,30F97025,30F97025
Tgmt_0222.png,29A97701,29A97701
Tgmt_0224.png,29A98366,29A93866
Tgmt_0230.png,EA8A53,89A15530
Tgmt_0239.png,89A10993,89A10993
Tgmt_0241.png,Không nhận diện,29A05080
Tgmt_0245.png,36A01418,36A01418
Tgmt_0247.png,36A01418,36A01418
Tgmt_0251.png,29A02343,29A02343
Tgmt_0254.png,20A03038,20A03038
Tgmt_0264.png,Không nhận diện,29A05080
Tgmt_0279.png,30F10317,30F10317
Tgmt_0281.png,S9A10432,99A10432
Tgmt_0282.png,89A10993,89A10993
Tgmt_0285.png,330F103,30F10317
Tgmt_0287.png,89A73844,89A13864
Tgmt_0306.png,30F21510,30F21510
Tgmt_0308.png,29021596,29D21596
Tgmt_0328.png,Không nhận diện,30G35217
Tgmt_0330.png,8A36257,29A36257
Tgmt_0339.png,10G4392,30G43912
Tgmt_0340.png,30F46189,30F46189
Tgmt_0342.png,30F46189,30F46189
Tgmt_0343.png,30A46748,30A46748
Tgmt_0348.png,30F50833,30F50833
Tgmt_0359.png,30A69919,30A69919
Tgmt_0361.png,30F70192,30F70192
Tgmt_0363.png,30A71103,30A71103
Tgmt_0364.png,30A71103,30A71103
Tgmt_0373.png,30F74338,30F74338
Tgmt_0378.png,36A01418,36A01418
Tgmt_0387.png,30F91149,30F91149
Tgmt_0390.png,30F92840,30F92840
Tgmt_0406.png,15A00635,15A00635
Tgmt_0414.png,36A04104,36A04104
Tgmt_0456.png,89A10429,89A10429
Tgmt_0457.png,89A10429,89A10429
Tgmt_0460.png,30G11155,30G11155
Tgmt_0472.png,29H15207,29H15207
Tgmt_0477.png,30G6380,30G16380
Tgmt_0500.png,30E19752,30E19752
Tgmt_0505.png,30F20049,30F20049
Tgmt_0507.png,30E20701,30E20701
Tgmt_0518.png,14A25074,14A25074
Tgmt_0519.png,30G25495,30G25495
Tgmt_0528.png,30A26144,30A26144
Tgmt_0533.png,30F27580,30F27580
Tgmt_0535.png,30F27580,30F27580
Tgmt_0553.png,30G33531,30G33531
Tgmt_0558.png,35939,30F35939
Tgmt_0573.png,30G39509,30G39509
Tgmt_0592.png,30E43843,30E43843
Tgmt_0596.png,30A47005,30A47005
Tgmt_0598.png,30A47837,30A47837
Tgmt_0601.png,36A49052,36A49052
Tgmt_0606.png,30F54659,30F54659
Tgmt_0612.png,30A57599,30A57599
Tgmt_0659.png,29A87180,29A87180
Tgmt_0675.png,30A97061,30A97061
Tgmt_0696.png,89LD00275,89LD00275
Tgmt_0707.png,30F06973,30F06973
Tgmt_0711.png,8907379,89A07379
Tgmt_0718.png,30G09132,30G09132
Tgmt_0720.png,14A09290,14A09290
Tgmt_0722.png,14A00700,14A09290
Tgmt_0727.png,30Z1040,30Z1040
Tgmt_0738.png,29Z1452,29Z1452
Tgmt_0741.png,1A16938,15A16938
Tgmt_0743.png,98A17339,98A17339
Tgmt_0746.png,89A20061,89A20061
Tgmt_0748.png,30F20784,30F20784
Tgmt_0750.png,30F21950,30F21950
Tgmt_0752.png,29T247T,29T2471
Tgmt_0753.png,29T247Z,29T2471
Tgmt_0758.png,F25697,30F25697
Tgmt_0762.png,88A30598,89A30598
Tgmt_0794.png,29A46294,29A46294
Tgmt_0803.png,30E47662,30E47662
Tgmt_0832.png,30A55695,30A55695
Tgmt_0836.png,29A57224,29A57224
Tgmt_0840.png,30A60168,30A60168
Tgmt_0846.png,3A609N,29A60986
Tgmt_0851.png,30A63839,30A63839
Tgmt_0851.png,E9SS,30A63839
Tgmt_0853.png,29A65169,29A65169
Tgmt_0859.png,30E66684,30E66684
Tgmt_0864.png,30A70190,30A70190
Tgmt_0866.png,Không nhận diện,30A70190
Tgmt_0871.png,30F72928,30F72928
Tgmt_0872.png,30F72928,30F72928
Tgmt_0873.png,9E74323,30E74323
Tgmt_0876.png,0F7405,30F74905
Tgmt_0897.png,30F88013,30F88013
Tgmt_0900.png,A89A073,89A07379
Tgmt_0906.png,30E96416,30E96416
Tgmt_0912.png,Không nhận diện,98A17339
Tgmt_0913.png,30F9905,30F99015
Tgmt_0917.png,89A2006T,89A20061
Tgmt_0920.png,89A2061,89A20061
